decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
223,201,0,9,0,1,381.26370750894756,381.26370750894756,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
224,202,2,9,0,0,407.5444953762386,381.26370750894756,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
225,203,0,11,0,1,381.0637075089475,381.0637075089475,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
226,204,2,9,0,1,381.0637075089475,381.0637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
227,205,1,12,0,0,396.1857397490605,381.0637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
228,206,2,11,0,1,380.3637075089474,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
229,207,1,11,0,0,444.7983776456201,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
230,208,2,11,0,1,380.3637075089474,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
231,209,1,10,0,0,385.3637075089474,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
232,210,1,9,0,1,380.3637075089474,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
233,210,1,9,1,0,,380.3637075089474,374.64879271711806,,,
234,211,1,10,0,0,409.33706186902714,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
235,212,1,10,0,1,380.3637075089474,380.3637075089474,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
236,213,2,10,0,1,379.86370750894747,379.86370750894747,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
237,214,2,10,0,0,383.620514762648,379.86370750894747,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
238,215,1,10,0,0,382.36370750894747,379.86370750894747,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
239,216,2,10,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
240,217,0,12,0,0,384.3667266123877,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
241,218,1,10,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
242,218,0,9,1,0,,378.9637075089475,374.64879271711806,,,
243,219,1,11,0,1,378.9637075089475,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
244,220,1,11,0,0,395.2709947465881,378.9637075089475,374.64879271711806,1.357512574849151,0.98367607185348,1.0951198912092355
